iter	Passed	Remaining
0	3	964
1	7	864
2	9	809
3	12	779
4	15	769
5	18	766
6	21	757
7	24	750
8	27	743
9	30	740
10	34	740
11	37	737
12	40	732
13	43	727
14	46	725
15	50	736
16	53	733
17	56	727
18	59	718
19	62	713
20	65	708
21	68	703
22	71	700
23	74	695
24	77	691
25	80	689
26	83	684
27	85	678
28	88	671
29	91	665
30	93	660
31	96	655
32	99	651
33	102	646
34	104	641
35	107	637
36	110	633
37	113	629
38	116	626
39	118	621
40	121	617
41	124	612
42	126	607
43	129	604
44	132	600
45	135	595
46	137	591
47	140	587
48	142	583
49	145	579
50	148	576
51	151	572
52	154	569
53	156	565
54	159	562
55	162	559
56	165	556
57	167	552
58	170	549
59	173	545
60	175	541
61	178	538
62	181	534
63	183	531
64	186	527
65	189	524
66	191	520
67	194	517
68	197	514
69	200	511
70	202	507
71	205	504
72	207	501
73	210	498
74	213	495
75	216	492
76	218	488
77	221	485
78	224	482
79	227	479
80	229	476
81	232	473
82	235	470
83	237	467
84	240	464
85	243	461
86	246	458
87	248	455
88	251	452
89	254	448
90	256	445
91	259	442
92	261	439
93	264	436
94	267	432
95	269	429
96	272	426
97	275	423
98	277	420
99	280	417
100	283	414
101	286	412
102	289	410
103	292	407
104	294	404
105	297	400
106	299	397
107	302	394
108	304	391
109	307	388
110	310	385
111	312	382
112	315	379
113	317	376
114	320	373
115	323	370
116	325	367
117	328	364
118	331	361
119	333	358
120	336	355
121	339	352
122	341	349
123	344	346
124	346	343
125	349	340
126	351	337
127	354	335
128	357	332
129	359	329
130	362	326
131	365	323
132	367	320
133	370	317
134	372	314
135	375	311
136	377	308
137	380	305
138	382	302
139	385	299
140	387	297
141	390	294
142	392	291
143	395	288
144	397	285
145	400	282
146	403	279
147	405	276
148	408	274
149	410	271
150	413	268
151	416	265
152	419	263
153	422	260
154	425	258
155	428	255
156	431	252
157	434	250
158	437	247
159	439	244
160	442	241
161	445	239
162	447	236
163	450	233
164	453	230
165	457	228
166	461	226
167	465	224
168	469	222
169	472	219
170	475	216
171	478	214
172	481	211
173	484	208
174	487	206
175	490	203
176	493	200
177	496	197
178	499	195
179	502	192
180	504	189
181	507	186
182	510	184
183	513	181
184	517	178
185	520	176
186	522	173
187	525	170
188	528	167
189	531	165
190	534	162
191	537	159
192	540	156
193	543	154
194	546	151
195	549	148
196	552	145
197	556	143
198	559	140
199	562	137
200	565	135
201	568	132
202	571	129
203	573	126
204	576	123
205	579	120
206	582	118
207	585	115
208	587	112
209	590	109
210	593	106
211	596	104
212	600	101
213	603	98
214	606	95
215	610	93
216	613	90
217	616	87
218	619	84
219	622	82
220	625	79
221	629	76
222	632	73
223	635	70
224	638	68
225	641	65
226	644	62
227	647	59
228	650	56
229	653	53
230	656	51
231	659	48
232	661	45
233	664	42
234	667	39
235	670	36
236	673	34
237	677	31
238	680	28
239	682	25
240	685	22
241	688	19
242	691	17
243	695	14
244	697	11
245	700	8
246	703	5
247	706	2
248	709	0
